function	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
EC:4.2.1.83	11.0	4.0	2.0	0.0	0.0	75.33	5.75	9.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
EC:4.2.1.84	18.0	22.0	0.0	0.0	0.0	18.0	8.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.1.9	10163.42	9312.69	14640.56	25681.84	17943.03	28705.27	9436.83	30313.7	30827.63	42703.08	14468.010000000002	13787.59	44293.58	8592.09	3396.55	1808.88	2285.5	2779.02	4586.14	4337.4	1761.65	1395.59	541.86	16407.85	6106.49	5567.280000000001	3890.5	4383.42
EC:4.2.1.90	19.75	8.25	3876.33	5468.85	5789.530000000001	1521.58	4105.17	2004.67	1975.08	1983.83	841.58	1430.25	1126.42	19.75	19.25	418.0	669.0	591.74	1379.0	1077.36	543.17	19.0	12.75	2.75	3215.75	3369.08	3434.67	1624.75
EC:4.2.1.91	163.0	46.0	51.0	232.85	224.86	164.32999999999998	46.75	0.0	0.0	0.0	0.0	2.5	3.0	684.0	22.0	425.0	700.0	621.99	46.0	1077.86	18.0	37.0	17.0	0.0	18.25	8.0	2.0	0.0
EC:4.2.1.96	183.0	61.0	66.0	13.0	17.0	451.0	85.0	22.0	0.0	8.0	0.0	2.5	6.0	12.0	22.0	9.0	0.0	35.0	40.0	14.01	18.0	40.0	17.0	0.0	104.25	16.0	0.0	3.0
EC:4.2.1.99	196.42	74.42	3970.66	5742.62	6063.389999999999	2601.49	4309.0	2115.75	2000.75	2059.33	882.75	1473.87	1397.42	58.59	193.75	999.83	1478.5000000000002	1996.06	1551.59	2184.2200000000003	913.5	304.34000000000003	340.41	70.25	3684.66	3593.58	3507.5	2396.42
EC:4.2.2.1	8317.0	2007.66	1872.34	870.0	388.67	77.83	1484.67	226.0	715.67	644.34	768.0	789.0	475.66	449.0	65.33	12.0	63.0	21.67	18.0	8.17	39.67	97.0	231.67	41.34	39.0	0.0	127.0	0.0
EC:4.2.2.10	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.2.17	0.0	0.0	0.0	219.85	207.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	418.0	669.0	586.99	0.0	1068.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:4.2.2.2	0.0	0.0	0.0	219.85	207.86	14.0	4.0	7.0	0.0	3.0	0.0	32.0	0.0	0.0	0.0	418.0	669.0	586.99	0.0	1068.86	0.0	0.0	0.0	73.0	0.0	0.0	0.0	0.0
EC:4.2.2.20	0.0	0.0	0.0	0.0	0.0	82.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	483.0	0.0	0.0	0.0	365.0	0.0	0.0	0.0	30.0
EC:4.2.2.21	0.0	0.0	0.0	0.0	0.0	82.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	483.0	0.0	0.0	0.0	365.0	0.0	0.0	0.0	30.0
EC:4.2.2.23	0.0	0.0	0.0	0.0	0.0	363.5	56.0	59.0	0.0	12.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	727.5	0.0	0.0	0.0	561.5	60.0	53.0	6.0	60.0
EC:4.2.2.3	163.0	46.0	64.0	13.0	17.0	30.0	8.0	0.0	0.0	4.0	0.0	2.5	0.0	12.0	22.0	7.0	0.0	35.0	40.0	9.0	18.0	37.0	17.0	0.0	0.0	0.0	0.0	0.0
