#NAME	108A	109A	110A	111A	112A	113A	114A	115A	116A	117A	118A	119A	120A	121A	122A	123A	124A	125A	126A	127A	128A	129A	130A	131A	132A	133A	134A	135A	136A	137A	138A
Butyricicoccus	2429.346506	2429.346506	0	1214.673253	1214.673253	3644.019759	6478.257349	4858.693012	58709.20722	44133.12819	809.7821686	3644.019759	3644.019759	4858.693012	2834.23759	2834.23759	1214.673253	5263.584096	2834.23759	42918.45494	64377.6824	46967.36578	28342.3759	4858.693012	6073.366264	15790.75229	12956.5147	5263.584096	0	27937.48482	5263.584096
Erysipelatoclostridium	2024.455421	4453.801927	0	0	0	0	9312.494939	3644.019759	10932.05928	14576.07903	30771.72241	23888.57397	49396.71228	40489.10843	37654.87084	79763.54361	38869.54409	24698.35614	16600.53446	5668.47518	8502.71277	4048.910843	9312.494939	0	2024.455421	0	3644.019759	0	0	1214.673253	2024.455421
DNF00809	3644.019759	7692.930602	0	6073.366264	2024.455421	0	16195.64337	5263.584096	2834.23759	15385.8612	2834.23759	8097.821686	4858.693012	9312.494939	10932.05928	10122.27711	23483.68289	6883.148433	0	0	0	1619.564337	4048.910843	2024.455421	0	0	6478.257349	2024.455421	0	10527.16819	1619.564337
Rhodospirillales	39679.32626	24698.35614	29557.04915	10527.16819	11741.84144	2429.346506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23888.57397	29152.15807	35225.52433	13766.29687	27937.48482	12146.73253	0	39274.43518
Tyzzerella_3	0	0	0	0	0	0	0	7692.930602	61543.44481	42513.56385	2429.346506	5668.47518	3239.128674	2834.23759	809.7821686	4858.693012	2024.455421	5668.47518	5668.47518	3644.019759	26317.92048	58304.31614	20649.4453	2024.455421	11336.95036	0	12551.62361	1214.673253	0	10527.16819	4858.693012
Ruminococcaceae_UCG_009	809.7821686	0	0	0	4858.693012	0	2834.23759	1619.564337	5263.584096	1214.673253	809.7821686	4453.801927	2429.346506	1214.673253	0	1619.564337	1214.673253	1619.564337	0	6883.148433	7288.039517	9717.386023	2834.23759	2834.23759	3239.128674	15385.8612	5668.47518	0	0	6073.366264	1214.673253
Family_XIII	4858.693012	2024.455421	3239.128674	10527.16819	0	5263.584096	4453.801927	1214.673253	8502.71277	3239.128674	3239.128674	8097.821686	7288.039517	5668.47518	8502.71277	1214.673253	5263.584096	9717.386023	809.7821686	4858.693012	4048.910843	5263.584096	8907.603855	7288.039517	4858.693012	15385.8612	6478.257349	7692.930602	9717.386023	5668.47518	7692.930602
Ruminiclostridium_5	1214.673253	6478.257349	4048.910843	12146.73253	13361.40578	3644.019759	25508.13831	11741.84144	78953.76144	38869.54409	0	15385.8612	6883.148433	2834.23759	5668.47518	5263.584096	14171.18795	0	0	89885.82071	16195.64337	57089.64289	57089.64289	12146.73253	32391.28674	111749.9393	17815.20771	4858.693012	2834.23759	36035.3065	14980.97012
Candidatus_Saccharimonas	1619.564337	7692.930602	0	2429.346506	2024.455421	1214.673253	4048.910843	2834.23759	2429.346506	2024.455421	2024.455421	9717.386023	12551.62361	4858.693012	2024.455421	2429.346506	6883.148433	2024.455421	0	13361.40578	0	16600.53446	15790.75229	23483.68289	49801.60337	55470.07855	40084.21735	23888.57397	25913.0294	135638.5132	40489.10843
Ruminococcaceae_UCG_003	0	0	0	0	0	0	0	7692.930602	39679.32626	19029.88096	0	0	2429.346506	0	0	0	4453.801927	0	0	29557.04915	23483.68289	31581.50458	33605.96	0	0	6478.257349	0	0	0	6073.366264	0
Mollicutes_RF39	1214.673253	6073.366264	809.7821686	0	0	0	13766.29687	8907.603855	20649.4453	6073.366264	0	0	22269.00964	0	0	0	9312.494939	0	5263.584096	14576.07903	5668.47518	6883.148433	0	9717.386023	0	10932.05928	6478.257349	8907.603855	10122.27711	26722.81156	14576.07903
Ruminiclostridium_6	0	809.7821686	0	4858.693012	2024.455421	404.8910843	0	5263.584096	10122.27711	19839.66313	8907.603855	0	4453.801927	0	1214.673253	2024.455421	1214.673253	5263.584096	809.7821686	31581.50458	20244.55421	21864.11855	6073.366264	11336.95036	12956.5147	14171.18795	14576.07903	6478.257349	6073.366264	21864.11855	5263.584096
GCA_900066575	0	0	0	5263.584096	1619.564337	2024.455421	5263.584096	1214.673253	5263.584096	3239.128674	2834.23759	6883.148433	0	0	2024.455421	0	0	1619.564337	0	13766.29687	3644.019759	4858.693012	8502.71277	2429.346506	4858.693012	6478.257349	3239.128674	0	3239.128674	3644.019759	0
Ruminococcaceae_UCG_014	0	0	0	0	0	0	1214.673253	4453.801927	15385.8612	3644.019759	4858.693012	5668.47518	5263.584096	4858.693012	0	809.7821686	3239.128674	404.8910843	10527.16819	4453.801927	3644.019759	2024.455421	1619.564337	6883.148433	2429.346506	2024.455421	19029.88096	56279.86072	24698.35614	42513.56385	11741.84144
Gastranaerophilales	0	17005.42554	11336.95036	2024.455421	2024.455421	2024.455421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5263.584096	14576.07903	7288.039517	10932.05928	15790.75229	11741.84144	9717.386023	2834.23759
Family_XIII_UCG_001	0	0	0	0	2024.455421	0	0	1214.673253	7288.039517	8097.821686	4048.910843	1214.673253	0	2429.346506	2429.346506	0	0	0	1214.673253	17005.42554	22673.90072	12956.5147	24293.46506	0	2429.346506	13766.29687	2429.346506	1214.673253	0	0	2834.23759
Candidatus_Soleaferrea	0	809.7821686	0	0	3644.019759	0	1214.673253	0	11336.95036	1619.564337	0	809.7821686	0	1619.564337	0	0	0	0	0	0	3644.019759	2024.455421	0	0	4048.910843	7692.930602	0	0	0	10932.05928	0
Ruminococcaceae_UCG_013	0	0	0	0	0	0	0	0	0	0	404.8910843	0	3644.019759	0	2429.346506	404.8910843	3644.019759	4048.910843	0	0	0	0	0	0	0	0	0	9717.386023	4048.910843	2834.23759	1619.564337
