#NAME	050B	051B	052B	058B	059B	060B	064B	065B	066B	067B	073B	074B	075B	076B	080B	081B	082B	083B	084B	085B	086B	087B	088B	095B	096B	097B	102B	103B	104B	105B	106B	107B	214B	215B	216B	226B	227B	228B	229B	230B	231B	232B	233B	234B	235B	236B	237B	238B	239B	240B
Mitochondria	0	0	0	0	0	5469.46217	0	0	1823.154057	0	1823.154057	20054.69462	1823.154057	10938.92434	0	14585.23245	14585.23245	7292.616226	27347.31085	0	3646.308113	0	3646.308113	1823.154057	0	0	1823.154057	10938.92434	0	1823.154057	18231.54057	5469.46217	7292.616226	1823.154057	0	0	0	0	0	0	23701.00273	0	0	7292.616226	18231.54057	5469.46217	5469.46217	0	0	0
Distigma	0	12762.0784	0	16408.38651	1823.154057	5469.46217	0	1823.154057	9115.770283	0	5469.46217	87511.39471	5469.46217	10938.92434	36463.08113	9115.770283	20054.69462	10938.92434	7292.616226	7292.616226	1823.154057	10938.92434	3646.308113	9115.770283	0	1823.154057	27347.31085	34639.92707	0	5469.46217	111212.3974	9115.770283	0	0	0	0	0	10938.92434	0	0	0	1823.154057	0	0	0	0	0	0	0	0
Apibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12762.0784	30993.61896	0	20054.69462	0	10938.92434	0	14585.23245	3646.308113	12762.0784	23701.00273	14585.23245	10938.92434	5469.46217	7292.616226	10938.92434	9115.770283	12762.0784
Aerosphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29170.4649	43755.69736	0	10938.92434	16408.38651	10938.92434	18231.54057	9115.770283	0	14585.23245	58340.92981	0	21877.84868	0	14585.23245	18231.54057	25524.15679	0
Prevotellaceae_UCG_003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45578.85141	100273.4731	0	5469.46217	36463.08113	9115.770283	0	14585.23245	21877.84868	43755.69736	47402.00547	16408.38651	52871.46764	14585.23245	25524.15679	56517.77575	1823.154057	65633.54603
Paenalcaligenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5469.46217	20054.69462	0	14585.23245	16408.38651	0	0	7292.616226	12762.0784	0	0	0	5469.46217	14585.23245	0	10938.92434	7292.616226	16408.38651
Ruminococcus_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7292.616226	0	0	0	0	52871.46764	78395.62443	0	29170.4649	1823.154057	16408.38651	0	1823.154057	41932.5433	43755.69736	76572.47037	9115.770283	14585.23245	27347.31085	12762.0784	76572.47037	23701.00273	38286.23519
Bacteroidales_RF16_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40109.38924	133090.2461	0	63810.39198	21877.84868	18231.54057	0	61987.23792	34639.92707	103919.7812	56517.77575	20054.69462	94804.01094	43755.69736	29170.4649	74749.31632	14585.23245	114858.7056
Enterobacteriaceae	0	3646.308113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1823.154057	0	0	0	0	0	0	0	9115.770283	10938.92434	0	0	0	0	0	0	51048.31358	20054.69462	0	20054.69462	0	0	0	21877.84868	30993.61896	36463.08113	41932.5433	21877.84868	3646.308113	10938.92434	21877.84868	40109.38924	0	14585.23245
Prevotella_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3646.308113	47402.00547	12762.0784	0	21877.84868	20054.69462	20054.69462	0	7292.616226	23701.00273	51048.31358	30993.61896	25524.15679	10938.92434	49225.15953	34639.92707	9115.770283	0	78395.62443
